temp,treatment,infection_status,ID,total_spvs,death,secondary
30,1,Infected,568,12,24,FALSE
30,1,Infected,518,0,25,FALSE
30,1,Infected,556,2,29,FALSE
30,1,Infected,512,0,28,FALSE
30,1,Infected,550,0,28,FALSE
30,0,Uninfected,501,0,8,FALSE
30,0,Uninfected,528,0,8,FALSE
30,0,Uninfected,510,0,10,FALSE
30,0,Uninfected,531,0,10,FALSE
30,0,Uninfected,537,0,10,FALSE
30,0,Uninfected,540,0,10,FALSE
30,0,Uninfected,543,0,10,FALSE
30,0,Uninfected,522,0,11,FALSE
30,0,Uninfected,552,0,11,FALSE
30,0,Uninfected,570,0,11,FALSE
30,0,Uninfected,555,0,12,FALSE
30,0,Uninfected,564,0,12,FALSE
30,0,Uninfected,519,0,13,FALSE
30,0,Uninfected,549,0,13,FALSE
30,0,Uninfected,546,0,13,FALSE
30,0,Uninfected,507,0,14,FALSE
30,0,Uninfected,513,0,14,FALSE
30,0,Uninfected,534,0,14,FALSE
30,0,Uninfected,504,0,23,FALSE
30,0,Uninfected,525,0,23,FALSE
30,0,Uninfected,558,0,23,FALSE
30,0,Uninfected,567,0,32,FALSE
30,0,Uninfected,561,0,39,FALSE
33,1,Infected,612,0,1,FALSE
33,1,Infected,621,0,1,FALSE
33,1,Infected,629,0,1,FALSE
33,1,Infected,630,0,1,FALSE
33,1,Infected,632,0,1,FALSE
33,1,Infected,641,0,1,FALSE
33,1,Infected,642,0,1,FALSE
33,1,Infected,648,0,1,FALSE
33,1,Infected,653,0,1,FALSE
33,1,Infected,663,0,1,FALSE
33,1,Infected,668,0,1,FALSE
33,1,Infected,671,0,1,FALSE
33,1,Infected,620,0,2,FALSE
33,1,Infected,633,0,2,FALSE
33,1,Infected,635,0,2,FALSE
33,1,Infected,638,0,2,FALSE
33,1,Infected,639,0,2,FALSE
33,1,Infected,644,0,2,FALSE
33,1,Infected,647,0,2,FALSE
33,1,Infected,657,0,2,FALSE
33,1,Infected,660,0,2,FALSE
33,1,Infected,669,0,2,FALSE
33,1,Infected,603,0,3,FALSE
33,1,Infected,606,0,3,FALSE
33,1,Infected,609,0,3,FALSE
33,1,Infected,614,0,3,FALSE
33,1,Infected,615,0,3,FALSE
33,1,Infected,617,0,3,FALSE
33,1,Infected,618,0,3,FALSE
33,1,Infected,623,0,3,FALSE
33,1,Infected,624,0,3,FALSE
33,1,Infected,645,0,3,FALSE
33,1,Infected,650,0,3,FALSE
33,1,Infected,651,0,3,FALSE
33,1,Infected,654,0,3,FALSE
33,1,Infected,659,0,3,FALSE
33,1,Infected,665,0,3,FALSE
33,1,Infected,666,0,3,FALSE
33,1,Infected,608,0,4,FALSE
33,1,Infected,611,0,4,FALSE
33,1,Infected,656,0,4,FALSE
33,1,Infected,662,0,4,FALSE
33,1,Infected,672,0,4,FALSE
33,1,Infected,602,0,5,FALSE
33,1,Infected,627,0,5,FALSE
33,1,Infected,636,0,5,FALSE
33,1,Infected,605,0,5,FALSE
33,0,Uninfected,610,0,1,FALSE
33,0,Uninfected,640,0,1,FALSE
33,0,Uninfected,643,0,1,FALSE
33,0,Uninfected,655,0,1,FALSE
33,0,Uninfected,664,0,1,FALSE
33,0,Uninfected,631,0,2,FALSE
33,0,Uninfected,634,0,2,FALSE
33,0,Uninfected,646,0,2,FALSE
33,0,Uninfected,649,0,2,FALSE
33,0,Uninfected,604,0,3,FALSE
33,0,Uninfected,607,0,3,FALSE
33,0,Uninfected,613,0,3,FALSE
33,0,Uninfected,619,0,3,FALSE
33,0,Uninfected,622,0,3,FALSE
33,0,Uninfected,628,0,3,FALSE
33,0,Uninfected,652,0,3,FALSE
33,0,Uninfected,658,0,3,FALSE
33,0,Uninfected,661,0,3,FALSE
33,0,Uninfected,667,0,3,FALSE
33,0,Uninfected,670,0,3,FALSE
33,0,Uninfected,601,0,4,FALSE
33,0,Uninfected,616,0,4,FALSE
33,0,Uninfected,625,0,4,FALSE
33,0,Uninfected,637,0,5,FALSE
